"approval_ym","approved_cnt","default_cnt","default_rate","chargeoff_sum","avg_amount"
"2019-10-01","4045","149","0.03683559950556242","18710531.53","429175.35"
"2019-11-01","3944","149","0.0377789046653144","20879141.44","481126.34"
"2019-12-01","3774","122","0.03232644409114997","13717877.57","485397.72"
"2020-01-01","3422","130","0.03798947983635301","16270807.07","454903.86"
"2020-02-01","3388","120","0.03541912632821724","14105852.03","457554.46"
"2020-03-01","3367","114","0.033858033858033855","12388013.19","435561.18"
"2020-04-01","4501","91","0.02021772939346812","16880091.04","639388.51"
"2020-05-01","2047","45","0.021983390327308255","4112166.10","464394.77"
"2020-06-01","2258","40","0.01771479185119575","9787803.27","469962.89"
"2020-07-01","2900","59","0.020344827586206895","12421273.39","567250.48"
"2020-08-01","3190","47","0.014733542319749215","12183270.48","622390.75"
"2020-09-01","5367","49","0.00912986771008012","16831761.78","740011.03"
"2020-10-01","2580","65","0.025193798449612403","7494793.18","497724.34"
"2020-11-01","2474","54","0.021827000808407437","12288944.80","555198.46"
"2020-12-01","3526","76","0.021554169030062395","12018676.16","669564.89"
"2021-01-01","1221","11","0.009009009009009009","1473154.38","423338.57"
"2021-02-01","3777","56","0.014826581943341277","14664999.02","662016.76"
"2021-03-01","4320","75","0.017361111111111112","15179599.23","619056.46"
"2021-04-01","4424","59","0.01333634719710669","11865056.98","636853.16"
"2021-05-01","4014","53","0.013203786746387643","12383662.76","663485.68"
"2021-06-01","4874","68","0.013951579811243332","8175888.82","682966.86"
"2021-07-01","5680","101","0.01778169014084507","24055886.76","779158.82"
"2021-08-01","6673","105","0.01573505170088416","19662775.57","801023.50"
"2021-09-01","8194","102","0.012448132780082987","14675100.87","878716.61"
"2021-10-01","2170","59","0.027188940092165898","9404057.00","371242.63"
"2021-11-01","3060","75","0.024509803921568627","8124375.39","442650.52"
"2021-12-01","3662","70","0.019115237575095576","4902021.23","629783.59"
"2022-01-01","3321","69","0.02077687443541102","7499021.13","552814.63"
"2022-02-01","3424","56","0.016355140186915886","7581663.51","551885.98"
"2022-03-01","4652","80","0.017196904557179708","14880712.92","549695.53"
"2022-04-01","4266","90","0.02109704641350211","10299813.20","521675.46"
"2022-05-01","4474","86","0.019222172552525705","9925474.48","543776.11"
"2022-06-01","4884","92","0.018837018837018837","15879627.14","548341.54"
"2022-07-01","4258","94","0.02207609206200094","15889561.93","567799.08"
"2022-08-01","4668","85","0.018209083119108824","10836406.42","501783.91"
"2022-09-01","4785","93","0.019435736677115987","21182534.67","591965.37"
"2022-10-01","4178","89","0.021302058401148877","10168874.20","524161.44"
"2022-11-01","4318","88","0.020379805465493284","14501550.94","520686.15"
"2022-12-01","4467","64","0.014327289008282965","7376582.84","523292.08"
"2023-01-01","3995","69","0.017271589486858575","10137711.46","451025.86"
"2023-02-01","4045","59","0.014585908529048208","7666571.24","444219.51"
"2023-03-01","5358","76","0.014184397163120567","8803158.54","459661.66"
"2023-04-01","4387","65","0.014816503305219967","6386050.31","444948.76"
"2023-05-01","5024","60","0.01194267515923567","5570405.34","453930.18"
"2023-06-01","4837","40","0.008269588587967749","3231728.44","455868.62"
"2023-07-01","4478","45","0.010049129075480124","7951947.46","485588.77"
"2023-08-01","4801","42","0.008748177463028535","4103212.94","433569.28"
"2023-09-01","7434","34","0.0045735808447672855","3530155.39","533936.27"
"2023-10-01","3945","21","0.00532319391634981","2332441.69","404859.54"
"2023-11-01","5592","20","0.00357653791130186","2213255.08","471356.63"
"2023-12-01","4996","14","0.0028022417934347476","1392151.55","420219.50"
"2024-01-01","5264","20","0.003799392097264438","1880289.24","400960.32"
"2024-02-01","5121","9","0.0017574692442882249","787383.27","413197.85"
"2024-03-01","6392","12","0.0018773466833541927","1215511.10","421154.58"
"2024-04-01","6202","10","0.0016123831022250886","608369.23","404301.55"
"2024-05-01","6432","6","0.0009328358208955224","634803.51","429978.67"
"2024-06-01","5903","2","0.000338810774182619","84680.83","479239.78"
"2024-07-01","6356","2","0.00031466331025802394","148755.81","463113.74"
"2024-08-01","6661","1","0.00015012760846719713","49000.00","460118.26"
"2024-09-01","7347","0","0","0.00","511765.62"
"2024-10-01","6925","0","0","0.00","404986.18"
"2024-11-01","5991","0","0","0.00","422869.65"
"2024-12-01","7072","0","0","0.00","479346.66"
"2025-01-01","7174","0","0","0.00","423204.14"
"2025-02-01","6929","0","0","0.00","414201.18"
"2025-03-01","8811","0","0","0.00","490960.91"
"2025-04-01","6061","0","0","0.00","392157.45"
"2025-05-01","8457","0","0","0.00","512846.03"
"2025-06-01","3816","0","0","0.00","509915.36"
